1;0,076923077;0,461538462;0,076923077
1;0,153846154;0,538461538;0,153846154
0,916666667;0,25;0,833333333;0,166666667
1;0;0,333333333;0,416666667
0,95;0,016666667;0,016666667;0,933333333
0,883333333;0,066666667;0,3;0,533333333
0,866666667;0,116666667;0,766666667;0,15
0,966666667;0,066666667;0,783333333;0,083333333
0,105263158;0,789473684;0,894736842;0,210526316
0,730769231;0,576923077;0,576923077;0,807692308
0,962962963;0,185185185;0,185185185;0,703703704
0,923076923;0,153846154;0,076923077;0,769230769
0,307692308;0,846153846;0,923076923;0
0,769230769;0,230769231;0,153846154;0,769230769
0,153846154;0,923076923;1;0
0,4;0,15;0,5;0,05
0,4;0,1;0,35;0,15
0,35;0,35;0,15;0,45
0,3;0,25;0,45;0,25
0,9;0,1;0,55;0,1
0,7;0,35;0,55;0,25
0,7;0,1;0,45;0,35
0,55;0,25;0,55;0,35
0,6;0,1;0,3;0,4
0,916666667;0,25;0,916666667;0,25
0,833333333;0,083333333;0,25;0,25
0,916666667;0;0,333333333;0,5
0,75;0,25;0,166666667;0,75
0,733333333;0,4;0,488888889;0,488888889
0,545454545;0,545454545;0,340909091;0,727272727
0,883211679;0,158150852;0,501216545;0,401459854
0,810218978;0,255474453;0,581508516;0,540145985
0,773722628;0,360097324;0,540145985;0,613138686
0,881355932;0,11299435;0,395480226;0,282485876
0,790960452;0,271186441;0,587570621;0,378531073
0,751412429;0,367231638;0,581920904;0,497175141
0,823529412;0,117647059;0,117647059;0,823529412
0,705882353;0,294117647;0,235294118;0,764705882
0,764705882;0,235294118;0,235294118;0,882352941
0,882352941;0,058823529;0,058823529;0,352941176
0,823529412;0,352941176;0,235294118;0,705882353
0,962962963;0,037037037;0,074074074;0,851851852
0,925925926;0,037037037;0,407407407;0,296296296
0,882352941;0,058823529;0,294117647;0,764705882
0,842105263;0,263157895;0,684210526;0,315789474
0,95;0,1;0,3;0,85
0,8;0,3;0,55;0,5
0,857142857;0,142857143;0,333333333;0,714285714
0,80952381;0,095238095;0,333333333;0,476190476
0,714285714;0,333333333;0,380952381;0,523809524
0,80952381;0,238095238;0,714285714;0,19047619
0,789473684;0,052631579;0,473684211;0,421052632
0,833333333;0;0,111111111;0,666666667
0,8;0;0,2;0,733333333
0,88;0,16;0,6;0,32
0,8;0,12;0,64;0,44
1;0,15;0,75;0,3
0,8;0,3;0,6;0,4
0,925;0,275;0,625;0,3
0,873015873;0,079365079;0,396825397;0,396825397
0,777777778;0,031746032;0,19047619;0,682539683
0,746031746;0,111111111;0,365079365;0,523809524
0,756097561;0,146341463;0,512195122;0,268292683
0,625;0,09375;0,25;0,3125
0,744680851;0,085106383;0,361702128;0,382978723
0,736842105;0,105263158;0,447368421;0,315789474
0,761904762;0,047619048;0,333333333;0,476190476
0,775;0,025;0,35;0,5
0,658536585;0,048780488;0,292682927;0,365853659
0,847826087;0,065217391;0,456521739;0,413043478
0,727272727;0,060606061;0,303030303;0,393939394
0,8;0,057142857;0,057142857;0,885714286
0,971428571;0,057142857;0,057142857;0,942857143
0,866666667;0,033333333;0,166666667;0,833333333
1;0;0;0,909090909
0,944444444;0,055555556;0,055555556;0,888888889
0,888888889;0;0,111111111;0,777777778
1;0;0,043478261;0,826086957
1;0;0,083333333;0,791666667
0,95;0;0,15;0,8
0,863636364;0,363636364;0,227272727;0,772727273
0,75;0,3;0,2;0,7
1;0,1;0,7;0,15
1;0,1;0,8;0,2
0,8;0,05;0,45;0,55
0,957671958;0,010582011;0,042328042;0,941798942
0,968253968;0,042328042;0,582010582;0,232804233
0,803333333;0,146666667;0,51;0,18
0,769470405;0,211838006;0,529595016;0,274143302
0,773291925;0,149068323;0,47826087;0,158385093
0,756666667;0,21;0,34;0,303333333
0,737313433;0,173134328;0,501492537;0,223880597
0,723333333;0,08;0,34;0,17
0,786666667;0,143333333;0,51;0,19
0,714285714;0,083056478;0,425249169;0,15282392
0,797101449;0,133333333;0,51884058;0,150724638
0,787610619;0,14159292;0,442477876;0,17699115
0,657407407;0,12962963;0,648148148;0,25617284
0,513333333;0,233333333;0,56;0,323333333